Name,Category,Stock,Color,Size,Period,Notes
Tunic,Tops and Shirts,1,Blue,M-L,Shakespeare,
Tunic,Tops and Shirts,1,Navy,M,Shakespeare,
Tunic,Tops and Shirts,1,Green,M-L,Shakespeare,
Cap x2,Hat,1,yellow,normal,,
Beret,Hat,1,blue,normal,,
Stetson,Hat,3,brown,normal,,
Banana Suit,All-in-one,1,yellow,M,,
Feather Boa,Accessories,1,pink,,,
Feather Boa,Accessories,1,purple,,,
Beard,Accessories,1,black,,,
Belly Dancing Scarf/Belt,Accessories,1,Purple and gold,,,
Shawl,Accessories,1,Black,small,,
Check Shirt,Tops and Shirts,1,Grey,XS,,
Vest Top,Vest,1,Blue,XL,,Stained on front
Ripped Knee Jeans,Trousers and Shorts,1,Black,28/36,Jeans,
Jacket,Jackets and Coats,1,Black,L,Suit,
Leather Jacket,Jackets and Coats,1,Black,XL,,Says sparta rocks on the back
Patterned Shirt Dress,Dresses and Skirts,1,Multi,12,,
Kilt,Misc,1,Multi/Red,14,,
Denim Top,Tops and Shirts,1,Blue,14,,Many rips 
Combat Trousers ,Trousers and Shorts,1,Khaki,L,,
Waterproof,Jackets and Coats,1,White/Cream,14,,Small stains on hood and shoulders
Trench Coat,Jackets and Coats,1,Tan/Beige,L (W),,Thread coming away on front of coat
Suede Leather Coat,Jackets and Coats,1,Brown,M,,Fabric torn inside 
Rain Coat ,Jackets and Coats,1,Purple,M,,None
Buttoned Jacket,Jackets and Coats,1,Cream,L,,None
Blouse,Tops and Shirts,1,Teal,10,,None
Crepe (?) Jacket,Jackets and Coats,1,Red and Black,12,,None
Buttoned Jacket,Jackets and Coats,1,navy,40,,None
Rain Jacket,Jackets and Coats,1,Dark green,10,,none
Coat,Jackets and Coats,1,black,Uk 18,,none
Tunic,Tops and Shirts,3,Dark green,M-L,Shakespeare,None
Blouse,Tops and Shirts,1,Leopard print,18,,none
Pencil Skirt,Dresses and Skirts,1,Dark blue,8,,Seaming issues on back
Coat,Jackets and Coats,1,Dark grey,L,,Small marks on front
Leather Jacket,Jackets and Coats,1,black,S,,none
Felt Ladies Jacket,Jackets and Coats,1,black,S,,none
Summer Skater Dress,Dresses and Skirts,1,Yellow with floral pattern,S,,none
Dress,Dresses and Skirts,1,burgundy,8,50s?,none
Floaty Maxi Dress,Dresses and Skirts,1,white,M,,Stains on front and back
Bandeau Top,Tops and Shirts,1,navy,10,,none
Multiway Tie Dress,Dresses and Skirts,1,navy,10-12,,none
Dressing Gown,Nightwear,1,grey,L,,none
Suffragette Costume Set ,Misc,1,"Pink, grey, red, white",M,Late 1800s/early 1900s,"None (Hat, Jacket, Shirt, Skirt and Sash all fine)"
Night Gown,Nightwear,1,Black (silk),L,,none
Pyjama Set,Nightwear,1,lilac,6-8,,Stain on back and left shoulder
Nightie,Nightwear,1,White with blue flowers,10-12,,none
Nightie,Nightwear,1,Pink and blue floral ,M,,none
Cotton Nightshirt,Nightwear,1,Blue striped,M,,Hole on front right side
Nightgown,Nightwear,1,white,M,,Small stains on front and back
Dressing Gown,Nightwear,1,Red tartan,XL,,Multiple holes and marks
Lace and Mesh Ballgown,Dresses and Skirts,1,blue,S,,Stains to skirt
Pyjama Top,Nightwear,1,purple,16-18,,Loose threads and a few stains
Nightie,Nightwear,3,White with blue floral,14-16,,Small stain at top
Pyjama Set,Nightwear,1,Blue checked,S,,Significant stains on trousers
Dressing Gown,Nightwear,1,burgundy,M,,none
Night Slip,Nightwear,1,purple,10,,None
Pyjama Set,Nightwear,1,Grey,M,,none
Mystic Style Dress,Dresses and Skirts,1,green,M-L,,none
Crepe Tunic Dress,Dresses and Skirts,1,blue,M,,none
Tulle Dress,Dresses and Skirts,1,Teal with flowers,S,,none
Slip Dress,Dresses and Skirts,1,red,S,,none
Judges Cloak,Tops and Shirts,1,black,53” chest,,none
Judges Cloak,Tops and Shirts,1,black,M,,none
Tunic,Tops and Shirts,1,brown,S-M,,none
Cape,Accessories,1,White and red polka dots,M,,Issues on drawstring
Cape,Accessories,1,blue,M,,Fraying at collar
Boxing Gown,Tops and Shirts,1,Blue and white,M-L,,"Slightly stained collar, marks on back"
Vampire Cloak,Tops and Shirts,1,black,M,,none
Patterned Midi Dress,Dresses and Skirts,1,blue,14,,none
Cape,Accessories,1,Red and white striped,M,,Marks on fabric and fraying drawstring
Ringmaster Coat,Jackets and Coats,1,Red with black and gold details,XL,,none
